"AreaName","ReportTime","TargetTime","DailyWeather__SubAreaName","DailyWeather__DetailWeather__TargetTime","DailyWeather__DetailWeather__WeatherInfo","DailyWeather__DetailWeather__WindInfo","DailyWeather__DetailWeather__WaveInfo","RainyRate__SubAreaName","RainyRate__DetailRainy__TargetTime","RainyRate__DetailRainy__Percent","RainyRate__DetailRainy__Condition","Temperature__SubAreaName","Temperature__DetailTemperature__MinimumTemperature","Temperature__DetailTemperature__DaytimeTemperature"
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸南部","2025-02-17T15:00:00","晴れ時々くもり","北西の風　やや強く　後　北の風　やや強く　海上　では　はじめ　西の風　非常に強く","３メートル　後　２メートル","沿岸北部","2025-02-17T09:00:00","40","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","沿岸南部","2025-02-18T15:00:00","くもり時々晴れ","西の風","２メートル","沿岸北部","2025-02-17T15:00:00","20","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸北部","2025-02-17T21:00:00","10","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸北部","2025-02-18T03:00:00","20","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸北部","2025-02-18T09:00:00","20","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-17T03:00:00","50","雪か雨","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-17T09:00:00","20","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-17T15:00:00","20","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-17T21:00:00","10","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-18T03:00:00","10","雪","","",""
"岩手県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","沿岸南部","2025-02-18T09:00:00","20","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下越","2025-02-17T02:00:00","風雪強い","北西の風　強く　海上　では　北西の風　非常に強く","２メートル　後　４メートル","下越","2025-02-17T03:00:00","90","雪か雨","新潟","-1","6"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下越","2025-02-17T15:00:00","風雪強い","北西の風　強く","４メートル","下越","2025-02-17T09:00:00","80","雪","長岡","-1","7"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下越","2025-02-18T15:00:00","雪時々止む","北西の風　やや強く","４メートル　後　３メートル","下越","2025-02-17T15:00:00","60","雪","高田","-1","8"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中越","2025-02-17T02:00:00","風雪強い","北西の風　強く　海上　では　北西の風　非常に強く","２．５メートル　後　４メートル","下越","2025-02-17T21:00:00","60","雪","相川","0","7"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中越","2025-02-17T15:00:00","雪","北西の風　やや強く　海上　では　北西の風　強く","４メートル","下越","2025-02-18T03:00:00","80","雪","湯沢","-3","7"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中越","2025-02-18T15:00:00","雪時々止む","北西の風　やや強く","４メートル　後　３メートル","下越","2025-02-18T09:00:00","80","雪","津川","-2","6"
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","上越","2025-02-17T02:00:00","風雪強い","北西の風　強く　海上　では　北西の風　非常に強く","２．５メートル　後　４メートル","中越","2025-02-17T03:00:00","90","雪か雨","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","上越","2025-02-17T15:00:00","雪","北西の風　やや強く　海上　では　北西の風　強く","４メートル","中越","2025-02-17T09:00:00","90","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","上越","2025-02-18T15:00:00","雪時々止む","西の風　やや強く","４メートル　後　３メートル","中越","2025-02-17T15:00:00","80","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","佐渡","2025-02-17T02:00:00","風雪強い","北西の風　強く　海上　では　北西の風　非常に強く","２．５メートル　後　４メートル","中越","2025-02-17T21:00:00","80","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","佐渡","2025-02-17T15:00:00","風雪強い","北西の風　強く","４メートル","中越","2025-02-18T03:00:00","80","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","佐渡","2025-02-18T15:00:00","風雪強い","北西の風　強く","４メートル　後　３メートル","中越","2025-02-18T09:00:00","90","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-17T03:00:00","90","雪か雨","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-17T09:00:00","90","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-17T15:00:00","80","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-17T21:00:00","80","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-18T03:00:00","90","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","上越","2025-02-18T09:00:00","90","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-17T03:00:00","80","雪か雨","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-17T09:00:00","70","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-17T15:00:00","60","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-17T21:00:00","60","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-18T03:00:00","70","雪","","",""
"新潟県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","佐渡","2025-02-18T09:00:00","80","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","津軽","2025-02-17T02:00:00","風雪強い","南西の風　後　西の風　強く　海上　では　北西の風　非常に強く","２メートル　後　５メートル","津軽","2025-02-17T03:00:00","80","雪か雨","青森","-3","6"
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","津軽","2025-02-17T15:00:00","風雪強い","西の風　はじめ　強く","５メートル　後　３メートル","津軽","2025-02-17T09:00:00","70","雪","八戸","-2","8"
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","津軽","2025-02-18T15:00:00","雪","西の風　やや強く","３メートル","津軽","2025-02-17T15:00:00","90","雪","むつ","-2","6"
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下北","2025-02-17T02:00:00","くもり後雪","南西の風　後　西の風　やや強く　海上　では　北西の風　強く","１メートル　後　３メートル","津軽","2025-02-17T21:00:00","60","雪","深浦","-3","6"
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下北","2025-02-17T15:00:00","くもり時々雪","西の風　やや強く　海上　では　北西の風　強く","３メートル　後　２メートル","津軽","2025-02-18T03:00:00","60","雪","弘前","-4","6"
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","下北","2025-02-18T15:00:00","くもり一時雪","北西の風","２メートル","津軽","2025-02-18T09:00:00","50","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","三八上北","2025-02-17T02:00:00","くもり後雪か雨","南西の風　後　西の風　やや強く　海上　では　北西の風　強く","１メートル　後　２．５メートル","下北","2025-02-17T03:00:00","40","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","三八上北","2025-02-17T15:00:00","くもり時々雪","西の風　やや強く　海上　では　西の風　強く","２．５メートル　後　２メートル","下北","2025-02-17T09:00:00","50","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","三八上北","2025-02-18T15:00:00","くもり一時雪","北西の風","２メートル","下北","2025-02-17T15:00:00","60","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","下北","2025-02-17T21:00:00","40","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","下北","2025-02-18T03:00:00","40","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","下北","2025-02-18T09:00:00","20","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-17T03:00:00","60","雪か雨","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-17T09:00:00","50","雪か雨","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-17T15:00:00","60","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-17T21:00:00","30","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-18T03:00:00","40","雪","","",""
"青森県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","三八上北","2025-02-18T09:00:00","20","雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中部","2025-02-17T02:00:00","晴れ","西の風　強く　後　やや強く　海上　では　後　西の風　非常に強く","３メートル","中部","2025-02-17T03:00:00","10","雨か雪","静岡","1","16"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中部","2025-02-17T15:00:00","晴れ","西の風　やや強く　海上　では　北西の風　強く","３メートル","中部","2025-02-17T09:00:00","10","雪","浜松","1","13"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中部","2025-02-18T15:00:00","晴れ","西の風　やや強く","２．５メートル　後　２メートル","中部","2025-02-17T15:00:00","0","雪","御前崎","1","14"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-17T02:00:00","晴れ時々くもり","西の風　強く　後　やや強く　海上　では　後　西の風　非常に強く","３メートル","中部","2025-02-17T21:00:00","0","雪か雨","三島","-1","16"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-17T15:00:00","晴れ時々くもり","西の風　やや強く　海上　では　北西の風　強く","３メートル","中部","2025-02-18T03:00:00","10","雪か雨","網代","3","16"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","西部","2025-02-18T15:00:00","晴れ時々くもり","西の風　やや強く","２．５メートル　後　２メートル","中部","2025-02-18T09:00:00","0","雪","石廊崎","4","13"
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-17T02:00:00","晴れ","西の風　やや強く　後　北西の風　海上　では　西の風　強く","１．５メートル　後　２メートル","西部","2025-02-17T03:00:00","20","雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-17T15:00:00","晴れ","西の風　海上　では　西の風　やや強く","１．５メートル","西部","2025-02-17T09:00:00","10","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","東部","2025-02-18T15:00:00","晴れ","西の風","１メートル","西部","2025-02-17T15:00:00","0","雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","伊豆","2025-02-17T02:00:00","晴れ","西の風　やや強く　後　強く　伊豆南　では　西の風　非常に強く","３メートル　後　４メートル","西部","2025-02-17T21:00:00","10","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","伊豆","2025-02-17T15:00:00","晴れ","西の風　やや強く　伊豆南　では　西の風　強く","３メートル","西部","2025-02-18T03:00:00","20","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","伊豆","2025-02-18T15:00:00","晴れ","西の風　やや強く","３メートル　後　２．５メートル","西部","2025-02-18T09:00:00","10","雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T03:00:00","0","雨か雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T09:00:00","0","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T15:00:00","0","雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-17T21:00:00","0","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-18T03:00:00","0","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","東部","2025-02-18T09:00:00","0","雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-17T03:00:00","0","雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-17T09:00:00","0","雨か雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-17T15:00:00","0","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-17T21:00:00","0","雪か雨","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-18T03:00:00","0","雨か雪","","",""
"静岡県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","伊豆","2025-02-18T09:00:00","0","雪か雨","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","石狩地方","2025-02-17T02:00:00","くもり後雪","北の風　石狩北部　では　北東の風　やや強く","１メートル　後　２メートル","石狩地方","2025-02-17T03:00:00","20","雪","札幌","-4","5"
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","石狩地方","2025-02-17T15:00:00","くもり時々雪","北西の風　後　やや強く　海上　では　後　北西の風　強く","２メートル　後　３メートル","石狩地方","2025-02-17T09:00:00","50","雪","岩見沢","-8","3"
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","石狩地方","2025-02-18T15:00:00","くもり時々雪","北西の風　やや強く","４メートル　後　３メートル","石狩地方","2025-02-17T15:00:00","40","雪","倶知安","-6","3"
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","空知地方","2025-02-17T02:00:00","くもり時々雪","北の風","null","石狩地方","2025-02-17T21:00:00","40","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","空知地方","2025-02-17T15:00:00","くもり後一時雪","北西の風　後　南西の風","null","石狩地方","2025-02-18T03:00:00","40","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","空知地方","2025-02-18T15:00:00","くもり時々雪","北の風","null","石狩地方","2025-02-18T09:00:00","50","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","後志地方","2025-02-17T02:00:00","くもり時々雪","北の風　海上　では　北の風　強く","１メートル　後　３メートル","空知地方","2025-02-17T03:00:00","30","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","後志地方","2025-02-17T15:00:00","雪時々止む","北西の風　日中　西の風　海上　では　北の風　強く","３メートル","空知地方","2025-02-17T09:00:00","30","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","後志地方","2025-02-18T15:00:00","くもり時々雪","北西の風　やや強く","４メートル　後　３メートル","空知地方","2025-02-17T15:00:00","10","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","空知地方","2025-02-17T21:00:00","20","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","空知地方","2025-02-18T03:00:00","30","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","空知地方","2025-02-18T09:00:00","50","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-17T03:00:00","30","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-17T09:00:00","50","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-17T15:00:00","60","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-17T21:00:00","50","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-18T03:00:00","40","雪","","",""
"石狩・空知・後志地方","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","","","","","","後志地方","2025-02-18T09:00:00","60","雪","","",""
"愛媛県","2025-02-17T02:00:00+00:00","2025-02-17T02:00:00+00:00","中予","2025-02-17T02:00:00","くもり時々晴れ","北西の風　やや強く　海上　では　北西の風　強く","１．５メートル","中予","2025-02-17T03:00:00","10","雨か雪","松山","2","11"
